Marca de Tiempo,Uso de Memoria (%)
19:21:09, 48.4
19:21:10, 48.4
19:21:11, 48.5
19:21:12, 48.5
19:21:13, 48.5
19:21:14, 48.4
19:21:15, 48.3
19:21:16, 48.3
19:21:17, 48.3
19:21:18, 48.3
19:21:19, 48.3
19:21:20, 48.3
19:21:21, 48.3
19:21:22, 48.3
19:21:23, 48.3
19:21:24, 48.3
19:21:25, 48.3
19:21:26, 48.3
19:21:27, 48.3
19:21:28, 48.3
19:21:29, 48.3
19:21:30, 48.3
19:21:31, 48.3
19:21:32, 48.3
19:21:33, 48.3
19:21:34, 48.3
19:21:35, 48.3
19:21:36, 48.3
19:21:37, 48.4
19:21:38, 48.4
19:21:39, 48.4
19:21:40, 48.5
19:21:41, 48.4
19:21:42, 48.4
19:21:43, 48.4
19:21:44, 48.5
19:21:45, 48.5
19:21:46, 48.5
19:21:47, 48.4
19:21:48, 48.4
19:21:49, 48.3
19:21:50, 48.3
19:21:51, 48.3
19:21:52, 48.3
19:21:53, 48.3
19:21:54, 48.3
19:21:55, 48.2
19:21:56, 48.2
19:21:57, 48.2
19:21:58, 48.2
19:21:59, 48.2
19:22:00, 48.2
19:22:01, 48.2
19:22:02, 48.2
19:22:03, 48.2
19:22:04, 48.2
19:22:05, 48.2
19:22:06, 48.2
19:22:07, 48.2
19:22:08, 48.3
19:22:09, 48.4
19:22:10, 48.4
19:22:11, 48.4
19:22:12, 48.4
19:22:13, 48.4
19:22:14, 48.4
19:22:15, 48.3
19:22:16, 48.3
19:22:17, 48.4
19:22:18, 48.4
19:22:19, 48.4
19:22:21, 48.4
19:22:22, 48.3
19:22:23, 48.8
19:22:24, 48.8
19:22:25, 48.5
19:22:26, 48.5
19:22:27, 48.6
19:22:28, 48.4
19:22:29, 48.5
19:22:30, 48.5
19:22:31, 48.4
19:22:32, 48.4
19:22:33, 48.4
19:22:34, 48.7
19:22:35, 48.7
19:22:36, 48.7
19:22:37, 48.7
19:22:38, 48.7
19:22:39, 48.7
19:22:40, 48.7
19:22:41, 48.7
19:22:42, 48.8
19:22:43, 49.2
19:22:44, 49.2
19:22:45, 49.0
19:22:46, 49.0
19:22:47, 49.0
19:22:48, 48.9
19:22:49, 48.9
19:22:50, 48.9
19:22:51, 48.9
19:22:52, 48.9
19:22:53, 48.9
19:22:54, 48.9
19:22:55, 48.9
19:22:56, 48.9
19:22:57, 48.9
19:22:58, 48.9
19:22:59, 48.8
19:23:00, 48.8
19:23:01, 48.8
19:23:02, 48.8
19:23:03, 48.7
19:23:04, 48.7
19:23:05, 48.7
19:23:06, 48.7
19:23:07, 48.7
19:23:08, 48.7
19:23:09, 48.7
19:23:10, 48.7
19:23:11, 48.7
19:23:12, 48.7
19:23:13, 48.7
19:23:14, 48.6
19:23:15, 48.6
19:23:16, 48.6
19:23:17, 48.6
19:23:18, 48.7
19:23:19, 48.7
19:23:20, 48.7
19:23:21, 48.6
19:23:22, 48.6
19:23:23, 48.6
19:23:24, 48.6
19:23:25, 48.6
19:23:26, 48.6
19:23:27, 48.6
19:23:28, 48.6
19:23:29, 48.6
19:23:30, 48.6
19:23:31, 48.6
19:23:32, 48.6
19:23:33, 48.6
19:23:34, 48.6
19:23:35, 48.6
19:23:36, 48.6
19:23:37, 48.6
19:23:38, 48.6
19:23:39, 48.6
19:23:40, 48.6
19:23:41, 48.6
19:23:42, 48.6
19:23:43, 48.6
19:23:44, 48.6
19:23:45, 48.6
19:23:46, 48.6
19:23:47, 48.6
19:23:48, 48.6
19:23:49, 48.6
19:23:50, 48.6
19:23:51, 48.6
19:23:52, 48.6
19:23:53, 48.6
19:23:54, 48.6
19:23:55, 48.6
19:23:56, 48.6
19:23:57, 48.6
19:23:58, 48.6
19:23:59, 48.6
19:24:00, 48.6
19:24:01, 48.6
19:24:02, 48.6
19:24:03, 48.6
19:24:04, 48.6
19:24:05, 48.6
19:24:06, 48.6
19:24:07, 48.6
19:24:08, 48.6
19:24:09, 48.6
19:24:10, 48.6
19:24:11, 48.6
19:24:12, 48.6
19:24:13, 48.6
19:24:14, 48.6
19:24:15, 48.5
19:24:16, 48.5
19:24:17, 48.5
19:24:18, 48.5
19:24:19, 48.5
19:24:20, 48.5
19:24:21, 48.5
19:24:22, 48.5
19:24:23, 48.5
19:24:24, 48.5
19:24:25, 48.5
19:24:26, 48.5
19:24:27, 48.6
19:24:28, 48.6
19:24:29, 48.6
19:24:30, 48.5
19:24:31, 48.5
19:24:32, 48.5
19:24:33, 48.5
19:24:34, 48.5
19:24:35, 48.5
19:24:36, 48.5
19:24:37, 48.5
19:24:38, 48.5
19:24:39, 48.5
19:24:40, 48.5
19:24:41, 48.5
19:24:42, 48.4
19:24:43, 48.5
19:24:44, 48.5
19:24:45, 48.4
19:24:46, 48.5
19:24:47, 48.5
19:24:48, 48.4
19:24:49, 48.5
19:24:50, 48.4
19:24:51, 48.5
19:24:52, 48.4
19:24:53, 48.5
19:24:54, 48.5
19:24:56, 48.4
19:24:57, 48.4
19:24:58, 48.4
19:24:59, 48.5
19:25:00, 48.5
19:25:01, 48.5
19:25:02, 48.6
19:25:03, 48.6
19:25:04, 48.6
19:25:05, 48.6
19:25:06, 48.6
19:25:07, 48.6
19:25:08, 48.6
19:25:09, 48.6
19:25:10, 48.6
19:25:11, 48.6
19:25:12, 48.6
19:25:13, 48.6
19:25:14, 48.5
19:25:15, 48.5
19:25:16, 48.5
19:25:17, 48.5
19:25:18, 48.5
19:25:19, 48.5
19:25:20, 48.5
19:25:21, 48.5
19:25:22, 48.5
19:25:23, 48.5
19:25:24, 48.5
19:25:25, 48.5
19:25:26, 48.5
19:25:27, 48.5
19:25:28, 48.5
19:25:29, 48.5
19:25:30, 48.5
19:25:31, 48.5
19:25:32, 48.5
19:25:33, 48.5
19:25:34, 48.5
19:25:35, 48.5
19:25:36, 48.5
19:25:37, 48.5
19:25:38, 48.5
19:25:39, 48.5
19:25:40, 48.5
19:25:41, 48.5
19:25:42, 48.5
19:25:43, 48.5
19:25:44, 48.5
19:25:45, 48.5
19:25:46, 48.5
19:25:47, 48.5
19:25:48, 48.5
19:25:49, 48.5
19:25:50, 48.5
19:25:51, 48.6
19:25:52, 48.6
19:25:53, 48.6
19:25:54, 48.5
19:25:55, 48.5
19:25:56, 48.5
19:25:57, 48.5
19:25:58, 48.5
19:25:59, 48.5
19:26:00, 48.5
19:26:01, 48.5
19:26:02, 48.5
19:26:03, 48.5
19:26:04, 48.5
19:26:05, 48.5
19:26:06, 48.5
19:26:07, 48.5
19:26:08, 48.5
